Canonical_Method,Canonical_Variable,Aggregate_Effect_Trend,Study_Count,Metadata_Filter_Flag,Academic_Sentence
Ensemble_Learning,Academic_Resilience,Null,2,empirical_finding,"2 çalışma, ensemble öğrenme yöntemiyle Academic Resilience için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=2)."
Ensemble_Learning,Assessment_Methodology,Negative,1,empirical_finding,"1 çalışma, ensemble öğrenme yöntemiyle Assessment Methodology için negatif bir eğilim raporlamıştır (Study_Count=1)."
Ensemble_Learning,Assessment_Methodology,Null,2,empirical_finding,"2 çalışma, ensemble öğrenme yöntemiyle Assessment Methodology için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=2)."
Ensemble_Learning,Assessment_Methodology,Positive,2,empirical_finding,"2 çalışma, ensemble öğrenme yöntemiyle Assessment Methodology için pozitif bir eğilim raporlamıştır (Study_Count=2)."
Ensemble_Learning,Civic_Engagement,Null,1,empirical_finding,"1 çalışma, ensemble öğrenme yöntemiyle Civic Engagement için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=1)."
Ensemble_Learning,Civic_Engagement,Positive,1,empirical_finding,"1 çalışma, ensemble öğrenme yöntemiyle Civic Engagement için pozitif bir eğilim raporlamıştır (Study_Count=1)."
Ensemble_Learning,Gender_Demographics,Null,3,empirical_finding,"3 çalışma, ensemble öğrenme yöntemiyle Gender Demographics için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=3)."
Ensemble_Learning,ICT_Usage,Null,1,empirical_finding,"1 çalışma, ensemble öğrenme yöntemiyle ICT Usage için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=1)."
Ensemble_Learning,Language_Proficiency,Null,1,empirical_finding,"1 çalışma, ensemble öğrenme yöntemiyle Language Proficiency için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=1)."
Ensemble_Learning,Math_Achievement,Negative,5,empirical_finding,"5 çalışma, ensemble öğrenme yöntemiyle Math Achievement için negatif bir eğilim raporlamıştır (Study_Count=5)."
Ensemble_Learning,Math_Achievement,Null,9,empirical_finding,"9 çalışma, ensemble öğrenme yöntemiyle Math Achievement için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=9)."
Ensemble_Learning,Math_Achievement,Positive,14,empirical_finding,"14 çalışma, ensemble öğrenme yöntemiyle Math Achievement için pozitif bir eğilim raporlamıştır (Study_Count=14)."
Ensemble_Learning,Occupational_Expectation,Null,1,empirical_finding,"1 çalışma, ensemble öğrenme yöntemiyle Occupational Expectation için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=1)."
Ensemble_Learning,Occupational_Expectation,Positive,1,empirical_finding,"1 çalışma, ensemble öğrenme yöntemiyle Occupational Expectation için pozitif bir eğilim raporlamıştır (Study_Count=1)."
Ensemble_Learning,Problem_Solving_Achievement,Null,2,empirical_finding,"2 çalışma, ensemble öğrenme yöntemiyle Problem Solving Achievement için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=2)."
Ensemble_Learning,Problem_Solving_Achievement,Positive,6,empirical_finding,"6 çalışma, ensemble öğrenme yöntemiyle Problem Solving Achievement için pozitif bir eğilim raporlamıştır (Study_Count=6)."
Ensemble_Learning,Psychometrics_Process,Negative,1,empirical_finding,"1 çalışma, ensemble öğrenme yöntemiyle Psychometrics Process için negatif bir eğilim raporlamıştır (Study_Count=1)."
Ensemble_Learning,Psychometrics_Process,Null,4,empirical_finding,"4 çalışma, ensemble öğrenme yöntemiyle Psychometrics Process için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=4)."
Ensemble_Learning,Psychometrics_Process,Positive,1,empirical_finding,"1 çalışma, ensemble öğrenme yöntemiyle Psychometrics Process için pozitif bir eğilim raporlamıştır (Study_Count=1)."
Ensemble_Learning,Reading_Achievement,Negative,2,empirical_finding,"2 çalışma, ensemble öğrenme yöntemiyle Reading Achievement için negatif bir eğilim raporlamıştır (Study_Count=2)."
Ensemble_Learning,Reading_Achievement,Null,11,empirical_finding,"11 çalışma, ensemble öğrenme yöntemiyle Reading Achievement için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=11)."
Ensemble_Learning,Reading_Achievement,Positive,10,empirical_finding,"10 çalışma, ensemble öğrenme yöntemiyle Reading Achievement için pozitif bir eğilim raporlamıştır (Study_Count=10)."
Ensemble_Learning,School_Efficiency_Climate,Positive,1,empirical_finding,"1 çalışma, ensemble öğrenme yöntemiyle School Efficiency Climate için pozitif bir eğilim raporlamıştır (Study_Count=1)."
Ensemble_Learning,Science_Achievement,Null,8,empirical_finding,"8 çalışma, ensemble öğrenme yöntemiyle Science Achievement için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=8)."
Ensemble_Learning,Science_Achievement,Positive,6,empirical_finding,"6 çalışma, ensemble öğrenme yöntemiyle Science Achievement için pozitif bir eğilim raporlamıştır (Study_Count=6)."
Ensemble_Learning,Self_Efficacy,Negative,1,empirical_finding,"1 çalışma, ensemble öğrenme yöntemiyle Self Efficacy için negatif bir eğilim raporlamıştır (Study_Count=1)."
Ensemble_Learning,Self_Efficacy,Null,1,empirical_finding,"1 çalışma, ensemble öğrenme yöntemiyle Self Efficacy için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=1)."
Ensemble_Learning,Student_Motivation,Null,1,empirical_finding,"1 çalışma, ensemble öğrenme yöntemiyle Student Motivation için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=1)."
Ensemble_Learning,Teacher_Efficacy_Workforce,Negative,1,empirical_finding,"1 çalışma, ensemble öğrenme yöntemiyle Teacher Efficacy Workforce için negatif bir eğilim raporlamıştır (Study_Count=1)."
Ensemble_Learning,Teacher_Efficacy_Workforce,Positive,1,empirical_finding,"1 çalışma, ensemble öğrenme yöntemiyle Teacher Efficacy Workforce için pozitif bir eğilim raporlamıştır (Study_Count=1)."
Ensemble_Learning,Teacher_Quality_Practices,Null,1,empirical_finding,"1 çalışma, ensemble öğrenme yöntemiyle Teacher Quality Practices için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=1)."
Ensemble_Learning,Wellbeing_Mental_Health,Negative,1,empirical_finding,"1 çalışma, ensemble öğrenme yöntemiyle Wellbeing Mental Health için negatif bir eğilim raporlamıştır (Study_Count=1)."
Ensemble_Learning,Wellbeing_Mental_Health,Null,5,empirical_finding,"5 çalışma, ensemble öğrenme yöntemiyle Wellbeing Mental Health için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=5)."
Ensemble_Learning,Wellbeing_Mental_Health,Positive,2,empirical_finding,"2 çalışma, ensemble öğrenme yöntemiyle Wellbeing Mental Health için pozitif bir eğilim raporlamıştır (Study_Count=2)."
Ensemble_Learning,Wellbeing_Psychological,Negative,1,empirical_finding,"1 çalışma, ensemble öğrenme yöntemiyle Wellbeing Psychological için negatif bir eğilim raporlamıştır (Study_Count=1)."
Ensemble_Learning,Wellbeing_Psychological,Null,1,empirical_finding,"1 çalışma, ensemble öğrenme yöntemiyle Wellbeing Psychological için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=1)."
Ensemble_Learning,Wellbeing_Psychological,Positive,2,empirical_finding,"2 çalışma, ensemble öğrenme yöntemiyle Wellbeing Psychological için pozitif bir eğilim raporlamıştır (Study_Count=2)."
Supervised_General,Academic_Resilience,Negative,1,empirical_finding,"1 çalışma, genel denetimli öğrenme yöntemiyle Academic Resilience için negatif bir eğilim raporlamıştır (Study_Count=1)."
Supervised_General,Academic_Resilience,Null,1,empirical_finding,"1 çalışma, genel denetimli öğrenme yöntemiyle Academic Resilience için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=1)."
Supervised_General,Academic_Resilience,Positive,2,empirical_finding,"2 çalışma, genel denetimli öğrenme yöntemiyle Academic Resilience için pozitif bir eğilim raporlamıştır (Study_Count=2)."
Supervised_General,Assessment_Methodology,Negative,1,empirical_finding,"1 çalışma, genel denetimli öğrenme yöntemiyle Assessment Methodology için negatif bir eğilim raporlamıştır (Study_Count=1)."
Supervised_General,Assessment_Methodology,Null,3,empirical_finding,"3 çalışma, genel denetimli öğrenme yöntemiyle Assessment Methodology için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=3)."
Supervised_General,Civic_Achievement,Positive,1,empirical_finding,"1 çalışma, genel denetimli öğrenme yöntemiyle Civic Achievement için pozitif bir eğilim raporlamıştır (Study_Count=1)."
Supervised_General,Curriculum_Instruction,Null,1,empirical_finding,"1 çalışma, genel denetimli öğrenme yöntemiyle Curriculum Instruction için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=1)."
Supervised_General,Curriculum_Instruction,Positive,1,empirical_finding,"1 çalışma, genel denetimli öğrenme yöntemiyle Curriculum Instruction için pozitif bir eğilim raporlamıştır (Study_Count=1)."
Supervised_General,Gender_Demographics,Positive,1,empirical_finding,"1 çalışma, genel denetimli öğrenme yöntemiyle Gender Demographics için pozitif bir eğilim raporlamıştır (Study_Count=1)."
Supervised_General,ICT_Usage,Negative,1,empirical_finding,"1 çalışma, genel denetimli öğrenme yöntemiyle ICT Usage için negatif bir eğilim raporlamıştır (Study_Count=1)."
Supervised_General,ICT_Usage,Null,3,empirical_finding,"3 çalışma, genel denetimli öğrenme yöntemiyle ICT Usage için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=3)."
Supervised_General,ICT_Usage,Positive,2,empirical_finding,"2 çalışma, genel denetimli öğrenme yöntemiyle ICT Usage için pozitif bir eğilim raporlamıştır (Study_Count=2)."
Supervised_General,Language_Proficiency,Negative,1,empirical_finding,"1 çalışma, genel denetimli öğrenme yöntemiyle Language Proficiency için negatif bir eğilim raporlamıştır (Study_Count=1)."
Supervised_General,Language_Proficiency,Null,1,empirical_finding,"1 çalışma, genel denetimli öğrenme yöntemiyle Language Proficiency için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=1)."
Supervised_General,Language_Proficiency,Positive,1,empirical_finding,"1 çalışma, genel denetimli öğrenme yöntemiyle Language Proficiency için pozitif bir eğilim raporlamıştır (Study_Count=1)."
Supervised_General,Math_Achievement,Null,1,empirical_finding,"1 çalışma, genel denetimli öğrenme yöntemiyle Math Achievement için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=1)."
Supervised_General,Math_Achievement,Positive,3,empirical_finding,"3 çalışma, genel denetimli öğrenme yöntemiyle Math Achievement için pozitif bir eğilim raporlamıştır (Study_Count=3)."
Supervised_General,Peer_Effects,Negative,1,empirical_finding,"1 çalışma, genel denetimli öğrenme yöntemiyle Peer Effects için negatif bir eğilim raporlamıştır (Study_Count=1)."
Supervised_General,Psychometrics_Process,Positive,1,empirical_finding,"1 çalışma, genel denetimli öğrenme yöntemiyle Psychometrics Process için pozitif bir eğilim raporlamıştır (Study_Count=1)."
Supervised_General,Reading_Achievement,Null,3,empirical_finding,"3 çalışma, genel denetimli öğrenme yöntemiyle Reading Achievement için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=3)."
Supervised_General,Reading_Achievement,Positive,7,empirical_finding,"7 çalışma, genel denetimli öğrenme yöntemiyle Reading Achievement için pozitif bir eğilim raporlamıştır (Study_Count=7)."
Supervised_General,SES,Negative,1,empirical_finding,"1 çalışma, genel denetimli öğrenme yöntemiyle SES için negatif bir eğilim raporlamıştır (Study_Count=1)."
Supervised_General,School_Efficiency_Climate,Null,1,empirical_finding,"1 çalışma, genel denetimli öğrenme yöntemiyle School Efficiency Climate için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=1)."
Supervised_General,Science_Achievement,Positive,2,empirical_finding,"2 çalışma, genel denetimli öğrenme yöntemiyle Science Achievement için pozitif bir eğilim raporlamıştır (Study_Count=2)."
Supervised_General,Self_Efficacy,Null,1,empirical_finding,"1 çalışma, genel denetimli öğrenme yöntemiyle Self Efficacy için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=1)."
Theoretical_and_Meta_Synthesis,Theoretical_and_Meta_Synthesis,Negative,13,theoretical_meta_synthesis,"13 kayıt, teorik ve meta-sentez katmanında teorik ve meta-sentez içeriği bağlamında literatür düzeyinde sentez/tartışma içermektedir; bu satırlar ampirik etki büyüklüğü değil, meta-bilişsel özet niteliğindedir (Study_Count=13)."
Theoretical_and_Meta_Synthesis,Theoretical_and_Meta_Synthesis,Null,163,theoretical_meta_synthesis,"163 kayıt, teorik ve meta-sentez katmanında teorik ve meta-sentez içeriği bağlamında literatür düzeyinde sentez/tartışma içermektedir; bu satırlar ampirik etki büyüklüğü değil, meta-bilişsel özet niteliğindedir (Study_Count=163)."
Theoretical_and_Meta_Synthesis,Theoretical_and_Meta_Synthesis,Positive,37,theoretical_meta_synthesis,"37 kayıt, teorik ve meta-sentez katmanında teorik ve meta-sentez içeriği bağlamında literatür düzeyinde sentez/tartışma içermektedir; bu satırlar ampirik etki büyüklüğü değil, meta-bilişsel özet niteliğindedir (Study_Count=37)."
Traditional_Stats,Anxiety_Stress,Negative,2,empirical_finding,"2 çalışma, geleneksel istatistik yöntemiyle Anxiety Stress için negatif bir eğilim raporlamıştır (Study_Count=2)."
Traditional_Stats,Anxiety_Stress,Null,3,empirical_finding,"3 çalışma, geleneksel istatistik yöntemiyle Anxiety Stress için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=3)."
Traditional_Stats,Anxiety_Stress,Positive,5,empirical_finding,"5 çalışma, geleneksel istatistik yöntemiyle Anxiety Stress için pozitif bir eğilim raporlamıştır (Study_Count=5)."
Traditional_Stats,Assessment_Methodology,Negative,4,empirical_finding,"4 çalışma, geleneksel istatistik yöntemiyle Assessment Methodology için negatif bir eğilim raporlamıştır (Study_Count=4)."
Traditional_Stats,Assessment_Methodology,Null,19,empirical_finding,"19 çalışma, geleneksel istatistik yöntemiyle Assessment Methodology için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=19)."
Traditional_Stats,Assessment_Methodology,Positive,16,empirical_finding,"16 çalışma, geleneksel istatistik yöntemiyle Assessment Methodology için pozitif bir eğilim raporlamıştır (Study_Count=16)."
Traditional_Stats,Assessment_Practices,Null,1,empirical_finding,"1 çalışma, geleneksel istatistik yöntemiyle Assessment Practices için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=1)."
Traditional_Stats,Assessment_Practices,Positive,2,empirical_finding,"2 çalışma, geleneksel istatistik yöntemiyle Assessment Practices için pozitif bir eğilim raporlamıştır (Study_Count=2)."
Traditional_Stats,Belonging_School_Climate,Negative,3,empirical_finding,"3 çalışma, geleneksel istatistik yöntemiyle Belonging School Climate için negatif bir eğilim raporlamıştır (Study_Count=3)."
Traditional_Stats,Belonging_School_Climate,Null,8,empirical_finding,"8 çalışma, geleneksel istatistik yöntemiyle Belonging School Climate için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=8)."
Traditional_Stats,Belonging_School_Climate,Positive,6,empirical_finding,"6 çalışma, geleneksel istatistik yöntemiyle Belonging School Climate için pozitif bir eğilim raporlamıştır (Study_Count=6)."
Traditional_Stats,Civic_Achievement,Negative,1,empirical_finding,"1 çalışma, geleneksel istatistik yöntemiyle Civic Achievement için negatif bir eğilim raporlamıştır (Study_Count=1)."
Traditional_Stats,Civic_Achievement,Null,11,empirical_finding,"11 çalışma, geleneksel istatistik yöntemiyle Civic Achievement için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=11)."
Traditional_Stats,Civic_Achievement,Positive,8,empirical_finding,"8 çalışma, geleneksel istatistik yöntemiyle Civic Achievement için pozitif bir eğilim raporlamıştır (Study_Count=8)."
Traditional_Stats,Civic_Engagement,Negative,4,empirical_finding,"4 çalışma, geleneksel istatistik yöntemiyle Civic Engagement için negatif bir eğilim raporlamıştır (Study_Count=4)."
Traditional_Stats,Civic_Engagement,Null,2,empirical_finding,"2 çalışma, geleneksel istatistik yöntemiyle Civic Engagement için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=2)."
Traditional_Stats,Civic_Engagement,Positive,9,empirical_finding,"9 çalışma, geleneksel istatistik yöntemiyle Civic Engagement için pozitif bir eğilim raporlamıştır (Study_Count=9)."
Traditional_Stats,Curriculum_Instruction,Null,5,empirical_finding,"5 çalışma, geleneksel istatistik yöntemiyle Curriculum Instruction için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=5)."
Traditional_Stats,Curriculum_Instruction,Positive,1,empirical_finding,"1 çalışma, geleneksel istatistik yöntemiyle Curriculum Instruction için pozitif bir eğilim raporlamıştır (Study_Count=1)."
Traditional_Stats,Dropout_Retention,Null,1,empirical_finding,"1 çalışma, geleneksel istatistik yöntemiyle Dropout Retention için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=1)."
Traditional_Stats,Dropout_Retention,Positive,1,empirical_finding,"1 çalışma, geleneksel istatistik yöntemiyle Dropout Retention için pozitif bir eğilim raporlamıştır (Study_Count=1)."
Traditional_Stats,Gender_Demographics,Negative,12,empirical_finding,"12 çalışma, geleneksel istatistik yöntemiyle Gender Demographics için negatif bir eğilim raporlamıştır (Study_Count=12)."
Traditional_Stats,Gender_Demographics,Null,28,empirical_finding,"28 çalışma, geleneksel istatistik yöntemiyle Gender Demographics için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=28)."
Traditional_Stats,Gender_Demographics,Positive,16,empirical_finding,"16 çalışma, geleneksel istatistik yöntemiyle Gender Demographics için pozitif bir eğilim raporlamıştır (Study_Count=16)."
Traditional_Stats,Homework_Study_Time,Null,2,empirical_finding,"2 çalışma, geleneksel istatistik yöntemiyle Homework Study Time için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=2)."
Traditional_Stats,Homework_Study_Time,Positive,1,empirical_finding,"1 çalışma, geleneksel istatistik yöntemiyle Homework Study Time için pozitif bir eğilim raporlamıştır (Study_Count=1)."
Traditional_Stats,ICT_Usage,Negative,4,empirical_finding,"4 çalışma, geleneksel istatistik yöntemiyle ICT Usage için negatif bir eğilim raporlamıştır (Study_Count=4)."
Traditional_Stats,ICT_Usage,Null,26,empirical_finding,"26 çalışma, geleneksel istatistik yöntemiyle ICT Usage için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=26)."
Traditional_Stats,ICT_Usage,Positive,17,empirical_finding,"17 çalışma, geleneksel istatistik yöntemiyle ICT Usage için pozitif bir eğilim raporlamıştır (Study_Count=17)."
Traditional_Stats,Immigration_Language,Negative,1,empirical_finding,"1 çalışma, geleneksel istatistik yöntemiyle Immigration Language için negatif bir eğilim raporlamıştır (Study_Count=1)."
Traditional_Stats,Immigration_Language,Null,3,empirical_finding,"3 çalışma, geleneksel istatistik yöntemiyle Immigration Language için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=3)."
Traditional_Stats,Immigration_Language,Positive,3,empirical_finding,"3 çalışma, geleneksel istatistik yöntemiyle Immigration Language için pozitif bir eğilim raporlamıştır (Study_Count=3)."
Traditional_Stats,Labor_Market_Outcomes,Negative,4,empirical_finding,"4 çalışma, geleneksel istatistik yöntemiyle Labor Market Outcomes için negatif bir eğilim raporlamıştır (Study_Count=4)."
Traditional_Stats,Labor_Market_Outcomes,Null,9,empirical_finding,"9 çalışma, geleneksel istatistik yöntemiyle Labor Market Outcomes için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=9)."
Traditional_Stats,Labor_Market_Outcomes,Positive,7,empirical_finding,"7 çalışma, geleneksel istatistik yöntemiyle Labor Market Outcomes için pozitif bir eğilim raporlamıştır (Study_Count=7)."
Traditional_Stats,Language_Proficiency,Null,1,empirical_finding,"1 çalışma, geleneksel istatistik yöntemiyle Language Proficiency için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=1)."
Traditional_Stats,Math_Achievement,Negative,23,empirical_finding,"23 çalışma, geleneksel istatistik yöntemiyle Math Achievement için negatif bir eğilim raporlamıştır (Study_Count=23)."
Traditional_Stats,Math_Achievement,Null,97,empirical_finding,"97 çalışma, geleneksel istatistik yöntemiyle Math Achievement için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=97)."
Traditional_Stats,Math_Achievement,Positive,60,empirical_finding,"60 çalışma, geleneksel istatistik yöntemiyle Math Achievement için pozitif bir eğilim raporlamıştır (Study_Count=60)."
Traditional_Stats,Metacognition_Strategies,Negative,2,empirical_finding,"2 çalışma, geleneksel istatistik yöntemiyle Metacognition Strategies için negatif bir eğilim raporlamıştır (Study_Count=2)."
Traditional_Stats,Metacognition_Strategies,Positive,2,empirical_finding,"2 çalışma, geleneksel istatistik yöntemiyle Metacognition Strategies için pozitif bir eğilim raporlamıştır (Study_Count=2)."
Traditional_Stats,Occupational_Expectation,Negative,1,empirical_finding,"1 çalışma, geleneksel istatistik yöntemiyle Occupational Expectation için negatif bir eğilim raporlamıştır (Study_Count=1)."
Traditional_Stats,Occupational_Expectation,Null,2,empirical_finding,"2 çalışma, geleneksel istatistik yöntemiyle Occupational Expectation için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=2)."
Traditional_Stats,Occupational_Expectation,Positive,1,empirical_finding,"1 çalışma, geleneksel istatistik yöntemiyle Occupational Expectation için pozitif bir eğilim raporlamıştır (Study_Count=1)."
Traditional_Stats,Parental_Involvement,Null,3,empirical_finding,"3 çalışma, geleneksel istatistik yöntemiyle Parental Involvement için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=3)."
Traditional_Stats,Parental_Involvement,Positive,3,empirical_finding,"3 çalışma, geleneksel istatistik yöntemiyle Parental Involvement için pozitif bir eğilim raporlamıştır (Study_Count=3)."
Traditional_Stats,Peer_Effects,Null,2,empirical_finding,"2 çalışma, geleneksel istatistik yöntemiyle Peer Effects için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=2)."
Traditional_Stats,Peer_Effects,Positive,2,empirical_finding,"2 çalışma, geleneksel istatistik yöntemiyle Peer Effects için pozitif bir eğilim raporlamıştır (Study_Count=2)."
Traditional_Stats,Prior_Achievement,Null,1,empirical_finding,"1 çalışma, geleneksel istatistik yöntemiyle Prior Achievement için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=1)."
Traditional_Stats,Problem_Solving_Achievement,Negative,3,empirical_finding,"3 çalışma, geleneksel istatistik yöntemiyle Problem Solving Achievement için negatif bir eğilim raporlamıştır (Study_Count=3)."
Traditional_Stats,Problem_Solving_Achievement,Null,20,empirical_finding,"20 çalışma, geleneksel istatistik yöntemiyle Problem Solving Achievement için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=20)."
Traditional_Stats,Problem_Solving_Achievement,Positive,13,empirical_finding,"13 çalışma, geleneksel istatistik yöntemiyle Problem Solving Achievement için pozitif bir eğilim raporlamıştır (Study_Count=13)."
Traditional_Stats,Process_Data_Log,Negative,1,empirical_finding,"1 çalışma, geleneksel istatistik yöntemiyle Process Data Log için negatif bir eğilim raporlamıştır (Study_Count=1)."
Traditional_Stats,Process_Data_Log,Null,2,empirical_finding,"2 çalışma, geleneksel istatistik yöntemiyle Process Data Log için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=2)."
Traditional_Stats,Process_Data_Log,Positive,2,empirical_finding,"2 çalışma, geleneksel istatistik yöntemiyle Process Data Log için pozitif bir eğilim raporlamıştır (Study_Count=2)."
